2023-06-16 14:06:119 INFO  HomePage :40 - Click on slingo tab [[ChromeDriver: chrome on WINDOWS (8178b11a22ba24e8c0d1e2590909168a)] -> link text: Online Bingo]
2023-06-16 14:06:331 INFO  HomePage :46 - Verifying online bongo text Text
2023-06-16 14:06:356 INFO  HomePage :36 - Click on accept cookies[[ChromeDriver: chrome on WINDOWS (1a0163f860042e21b669cd2b813f637c)] -> xpath: //label[normalize-space()='Accept']]
2023-06-16 14:06:601 INFO  HomePage :40 - Click on slingo tab [[ChromeDriver: chrome on WINDOWS (1a0163f860042e21b669cd2b813f637c)] -> link text: Online Bingo]
2023-06-16 14:06:768 INFO  HomePage :46 - Verifying online bongo text Text
2023-06-16 14:06:590 INFO  HomePage :36 - Click on accept cookies[[ChromeDriver: chrome on WINDOWS (896763049352919e7e0ce72640efd3ff)] -> xpath: //label[normalize-space()='Accept']]
2023-06-16 14:06:410 INFO  HomePage :32 - Click on accept cookies[[ChromeDriver: chrome on WINDOWS (dcf42cfc1f223bb19481d31dd9dc845a)] -> xpath: //label[normalize-space()='Accept']]
2023-06-16 14:06:647 INFO  HomePage :36 - Click on slingo tab [[ChromeDriver: chrome on WINDOWS (dcf42cfc1f223bb19481d31dd9dc845a)] -> link text: Online Bingo]
2023-06-16 14:06:817 INFO  HomePage :42 - Verifying online bongo text Text
2023-06-16 14:06:410 INFO  HomePage :32 - Click on accept cookies[[ChromeDriver: chrome on WINDOWS (7dbef29ec35da8d4333c13a8d48841f6)] -> xpath: //label[normalize-space()='Accept']]
2023-06-16 14:06:708 INFO  HomePage :36 - Click on slingo tab [[ChromeDriver: chrome on WINDOWS (7dbef29ec35da8d4333c13a8d48841f6)] -> link text: Online Bingo]
2023-06-16 14:06:530 INFO  HomePage :42 - Verifying online bongo text Text
2023-06-16 14:06:36 INFO  HomePage :32 - Click on accept cookies[[ChromeDriver: chrome on WINDOWS (589e06791f7c39245a0bb08eab4e93a9)] -> xpath: //label[normalize-space()='Accept']]
2023-06-16 14:06:338 INFO  HomePage :36 - Click on slingo tab [[ChromeDriver: chrome on WINDOWS (589e06791f7c39245a0bb08eab4e93a9)] -> link text: Online Bingo]
2023-06-16 14:06:210 INFO  HomePage :42 - Verifying online bongo text Text
